# time,x_position,y_position,z_position
93.46934693,93799.80587557,91376.49156514,-30133.11882563
93.47934793,94313.55719023,90228.25156740,-29284.13962406
93.48934893,95183.75237250,89152.53495366,-28666.03393686
93.49934993,96354.29183112,88264.08549626,-28301.18681760
93.50935094,97740.39371843,87657.05222368,-28186.92032056
93.51935194,99231.34255041,87395.13408160,-28292.17467195
93.52935294,100717.78701091,87508.18412982,-28570.37279859
93.53935394,102097.93931231,87995.84223094,-28965.60548977
93.54935494,103287.36607753,88824.52317527,-29416.52158768
93.55935594,104223.10030630,89932.54334334,-29860.53615847
93.56935694,104865.01629499,91251.93384954,-30243.97569998
93.57935794,105193.05843556,92706.56349634,-30520.72592801
93.58935894,105209.56600209,94217.28857331,-30655.79267223
93.59935994,104932.66496248,95708.69977857,-30624.54101873
93.60936094,104390.85094685,97108.95225049,-30410.01294071
93.61936194,103624.86843911,98354.66159260,-30005.90165111
93.62936294,102687.68138742,99392.12064436,-29417.00895154
93.63936394,101638.23217806,100179.72566307,-28656.50208588
93.64936494,100538.95597870,100683.62702702,-27742.39934332
93.65936594,99456.35562073,100884.35784387,-26699.88336760
93.66936694,98458.58404206,100780.67415753,-25561.28627467
93.67936794,97613.01312244,100389.33891709,-24364.86457606
93.68936894,96980.75901483,99741.82246985,-23149.04762814
93.69936994,96618.54872682,98885.05491207,-21952.96005089
93.70937094,96564.21078996,97884.19935744,-20812.68970588
93.71937194,96835.67837781,96822.72812943,-19760.94107503
93.72937294,97429.86027354,95790.38947945,-18822.34461376
93.73937394,98323.57694311,94874.95929900,-18010.31544460
93.74937494,99472.45895290,94156.25980593,-17329.22169013
93.75937594,100809.24410094,93695.67238793,-16771.73288343
93.76937694,102249.27460654,93534.68494672,-16320.07515322
93.77937794,103713.11645023,93691.20872764,-15952.79650402
93.78937894,105121.52606600,94163.88269398,-15645.70897169
93.79937994,106405.18202321,94928.94499498,-15373.73266824
93.80938094,107505.93422152,95940.98185751,-15111.34359103
93.81938194,108381.84419679,97149.49828907,-14837.18758569
93.82938294,109002.95999060,98499.92822266,-14533.53908837
93.83938394,109352.88827247,99934.90740258,-14186.25737036
93.84938494,109429.76674634,101396.18994696,-13785.28401308
93.85938594,109242.07833093,102829.67279643,-13324.22803587
93.86938694,108803.84848608,104183.93734414,-12799.25185719
93.87938794,108137.06424270,105412.07206323,-12209.17096363
93.88938894,107271.75956308,106473.49352433,-11555.52167653
93.89938994,106245.95013969,107334.01530882,-10842.54781410
93.90939094,105100.76554332,107967.84999150,-10076.07717752
93.91939194,103880.05079352,108351.70468015,-9262.83725960
93.92939294,102631.78267170,108470.65433121,-8410.55059868
93.93939394,101406.70446800,108321.23394640,-7527.66951759
93.94939494,100258.32598132,107911.43857276,-6623.37612366
93.95939594,99240.05009429,107260.65416736,-5707.23415667
93.96939694,98400.00020302,106397.35198973,-4787.10912520
93.97939794,97786.76773513,105359.76364957,-3869.25955381
93.98939894,97435.84193917,104198.54998223,-2958.02840475
93.99939994,97368.69791509,102976.88839544,-2055.78913298
94.00940094,97592.62682037,101769.73708410,-1162.96483399
94.01940194,98096.83754681,100646.93644764,-277.22053821
94.02940294,98855.08101338,99678.37721329,607.45146765
94.03940394,99824.97032217,98923.41678760,1496.65279259
94.04940494,100946.81401136,98425.17166364,2394.90475128
94.05940594,102144.37106703,98210.40428322,3305.65155797
94.06940694,103345.80138528,98287.25098761,4230.76257953
94.07940794,104482.48617726,98648.55998807,5169.00220180
94.08940894,105491.76143277,99272.06548858,6116.40340704
94.09940994,106321.58035978,100119.59868277,7066.41337510
94.10941094,106931.52170047,101140.12762360,8010.34814772
94.11941194,107294.76142532,102284.73095992,8938.77526452
94.12941294,107393.62187247,103500.83830313,9841.01105834
94.13941394,107222.60828252,104735.66256524,10706.92602700
94.14941494,106788.68418734,105936.78393894,11527.08048986
94.15941594,106108.01130611,107055.93100781,12293.20335625
94.16941694,105201.44294087,108047.98086061,12997.38545774
94.17941794,104097.56905195,108871.57303470,13633.59564248
94.18941894,102832.75899532,109491.59977212,14198.53841112
94.19941994,101451.13479859,109879.23471847,14691.65760996
94.20942094,100000.70882418,110013.89924833,15115.08855508
94.21942194,98533.33956034,109878.71486970,15472.73718867
94.22942294,97104.77651313,109466.74130330,15772.40763217
94.23942394,95772.73175941,108784.56885725,16026.52887375
94.24942494,94596.84374090,107852.32103428,16252.14593078
94.25942594,93630.75295812,106703.49078792,16469.07746405
94.26942694,92926.33083903,105382.45258508,16701.56952579
94.27942794,92523.33591268,103946.65396660,16976.14788157
94.28942894,92440.52836742,102467.74235408,17319.45891153
94.29942994,92675.66997400,101031.55119260,17758.26463077
94.30943094,93204.89779999,99723.26337280,18314.66663425
94.31943194,93981.80972553,98619.31591615,19004.42051851
94.32943294,94940.02835867,97784.17060349,19833.69899473
94.33943394,95993.75383916,97260.10363782,20794.87552372
94.34943494,97048.71685662,97065.90646535,21868.90696763
94.35943594,98017.73676839,97199.23449804,23028.76979009
94.36943694,98821.67965448,97637.08638834,24239.76056642
94.37943794,99397.35823642,98333.48506592,25461.22789325
94.38943894,99699.83071925,99227.04456858,26650.34165365
94.39943994,99702.14523433,100254.81440746,27766.80824103
94.40944094,99394.20812780,101348.39017183,28773.09713298
94.41944194,98785.75627490,102437.50729340,29637.96716515
94.42944294,97902.91383252,103454.66177804,30337.33807370
94.43944394,96781.05576120,104336.77206203,30852.19782923
94.44944494,95467.75379926,105026.44999931,31172.20934517
94.45944594,94022.98959920,105475.58588409,31298.11016628
94.46944694,92516.73793293,105646.63797098,31241.20140786
94.47944794,91022.46220235,105512.87774132,31020.35235157
94.48944894,89618.91944559,105061.19436785,30664.97686382
94.49944994,88385.11025481,104299.88734778,30216.93633672
94.50945095,87396.45080414,103258.79361636,29728.63546299
94.51945195,86719.74815179,101987.04436043,29258.96380751
94.52945295,86405.43892537,100555.16874639,28871.20973336
94.53945395,86472.63302051,99057.64646121,28627.34035858
94.54945495,86908.21699629,97605.78710374,28583.26542265
94.55945595,87666.89687876,96309.49009517,28779.60931835
94.56945695,88671.92267382,95269.23617873,29237.51728301
94.57945795,89813.64472401,94560.72259436,29947.57153469
94.58945895,90968.11061591,94228.75235671,30874.87048768
94.59945995,92018.83838123,94285.49306820,31967.11180111
94.60946095,92863.46992184,94708.70222107,33156.52998687
94.61946195,93423.47654471,95439.87266792,34363.64536360
94.62946295,93649.62905920,96405.80244221,35512.07864711
94.63946395,93518.90336659,97522.90219664,36530.87319257
94.64946495,93038.75356353,98699.69094953,37360.94169825
94.65946595,92241.74971279,99845.31484941,37957.42693673
